question_type,question_id,evaluator_model,evaluated_model,time,score
solvable,003_006_006,google/gemini-2.5-pro,anthropic/claude-sonnet-4.5,30.69080877304077,5.0
solvable,003_006_006,openai/gpt-5,anthropic/claude-sonnet-4.5,17.897341012954712,5.0
solvable,003_006_006,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,10.509434700012209,5.0
solvable,003_006_006,google/gemini-2.5-pro,openai/gpt-5,30.69080877304077,5.0
solvable,003_006_006,openai/gpt-5,openai/gpt-5,17.897341012954712,5.0
solvable,003_006_006,anthropic/claude-sonnet-4.5,openai/gpt-5,10.509434700012209,5.0
solvable,003_006_006,google/gemini-2.5-pro,google/gemini-2.5-pro,30.69080877304077,5.0
solvable,003_006_006,openai/gpt-5,google/gemini-2.5-pro,17.897341012954712,5.0
solvable,003_006_006,anthropic/claude-sonnet-4.5,google/gemini-2.5-pro,10.509434700012209,5.0
solvable,003_023_016,google/gemini-2.5-pro,anthropic/claude-sonnet-4.5,20.04595232009888,5.0
solvable,003_023_016,openai/gpt-5,anthropic/claude-sonnet-4.5,20.80574917793274,5.0
solvable,003_023_016,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,10.971462726593018,5.0
solvable,003_023_016,google/gemini-2.5-pro,google/gemini-2.5-pro,20.04595232009888,5.0
solvable,003_023_016,openai/gpt-5,google/gemini-2.5-pro,20.80574917793274,5.0
solvable,003_023_016,anthropic/claude-sonnet-4.5,google/gemini-2.5-pro,10.971462726593018,5.0
solvable,003_023_016,google/gemini-2.5-pro,openai/gpt-5,20.04595232009888,5.0
solvable,003_023_016,openai/gpt-5,openai/gpt-5,20.80574917793274,5.0
solvable,003_023_016,anthropic/claude-sonnet-4.5,openai/gpt-5,10.971462726593018,5.0
solvable,025_007_024,google/gemini-2.5-pro,anthropic/claude-sonnet-4.5,27.070008993148804,5.0
solvable,025_007_024,openai/gpt-5,anthropic/claude-sonnet-4.5,29.773001194000244,5.0
solvable,025_007_024,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,13.415480136871338,5.0
solvable,025_007_024,google/gemini-2.5-pro,google/gemini-2.5-pro,27.070008993148804,5.0
solvable,025_007_024,openai/gpt-5,google/gemini-2.5-pro,29.773001194000244,5.0
solvable,025_007_024,anthropic/claude-sonnet-4.5,google/gemini-2.5-pro,13.415480136871338,5.0
solvable,025_007_024,google/gemini-2.5-pro,openai/gpt-5,27.070008993148804,5.0
solvable,025_007_024,openai/gpt-5,openai/gpt-5,29.773001194000244,5.0
solvable,025_007_024,anthropic/claude-sonnet-4.5,openai/gpt-5,13.415480136871338,5.0
solvable,007_003_022,google/gemini-2.5-pro,anthropic/claude-sonnet-4.5,24.31283450126648,5.0
solvable,007_003_022,openai/gpt-5,anthropic/claude-sonnet-4.5,38.81059646606445,5.0
solvable,007_003_022,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,12.298665046691896,5.0
solvable,007_003_022,google/gemini-2.5-pro,google/gemini-2.5-pro,24.31283450126648,5.0
solvable,007_003_022,openai/gpt-5,google/gemini-2.5-pro,38.81059646606445,5.0
solvable,007_003_022,anthropic/claude-sonnet-4.5,google/gemini-2.5-pro,12.298665046691896,5.0
solvable,007_003_022,google/gemini-2.5-pro,openai/gpt-5,24.31283450126648,5.0
solvable,007_003_022,openai/gpt-5,openai/gpt-5,38.81059646606445,5.0
solvable,007_003_022,anthropic/claude-sonnet-4.5,openai/gpt-5,12.298665046691896,5.0
solvable,016_023_013,google/gemini-2.5-pro,anthropic/claude-sonnet-4.5,33.882041215896606,5.0
solvable,016_023_013,openai/gpt-5,anthropic/claude-sonnet-4.5,38.06425523757935,4.0
solvable,016_023_013,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5,14.821265459060667,5.0
solvable,016_023_013,google/gemini-2.5-pro,google/gemini-2.5-pro,33.882041215896606,5.0
solvable,016_023_013,openai/gpt-5,google/gemini-2.5-pro,38.06425523757935,3.0
solvable,016_023_013,anthropic/claude-sonnet-4.5,google/gemini-2.5-pro,14.821265459060667,5.0
solvable,016_023_013,google/gemini-2.5-pro,openai/gpt-5,33.882041215896606,4.0
solvable,016_023_013,openai/gpt-5,openai/gpt-5,38.06425523757935,5.0
solvable,016_023_013,anthropic/claude-sonnet-4.5,openai/gpt-5,14.821265459060667,5.0
unsolvable,2,google/gemini-2.5-pro,,28.40579319000244,
unsolvable,2,openai/gpt-5,,66.14213037490845,
unsolvable,2,anthropic/claude-sonnet-4.5,,0.0,
unsolvable,1,google/gemini-2.5-pro,,41.433486223220825,
unsolvable,1,openai/gpt-5,,84.85945320129395,
unsolvable,1,anthropic/claude-sonnet-4.5,,0.0,
unsolvable,0,google/gemini-2.5-pro,,50.49367570877075,
unsolvable,0,openai/gpt-5,,101.16165137290956,
unsolvable,0,anthropic/claude-sonnet-4.5,,0.0,
